Coil_ID, X [m], Y [m], Z [m]
1, 5.362472, 1.708726, 1.078927
1, 5.344261, 1.708960, 1.082252
1, 5.326043, 1.709009, 1.085532
1, 5.307819, 1.708872, 1.088767
1, 5.289593, 1.708551, 1.091957
1, 5.271367, 1.708044, 1.095102
1, 5.253142, 1.707351, 1.098204
1, 5.234921, 1.706474, 1.101263
1, 5.216706, 1.705410, 1.104278
1, 5.198498, 1.704161, 1.107251
1, 5.180301, 1.702727, 1.110182
1, 5.162117, 1.701107, 1.113072
1, 5.143946, 1.699302, 1.115920
1, 5.125793, 1.697312, 1.118728
1, 5.107658, 1.695137, 1.121496
1, 5.089544, 1.692777, 1.124225
1, 5.071453, 1.690231, 1.126914
1, 5.053387, 1.687502, 1.129566
1, 5.035348, 1.684588, 1.132179
1, 5.017339, 1.681490, 1.134756
1, 4.999361, 1.678208, 1.137295
1, 4.981416, 1.674743, 1.139799
1, 4.963508, 1.671095, 1.142267
1, 4.945637, 1.667264, 1.144700
1, 4.927806, 1.663251, 1.147099
1, 4.910017, 1.659056, 1.149464
1, 4.892272, 1.654679, 1.151797
1, 4.874573, 1.650121, 1.154097
1, 4.856922, 1.645383, 1.156366
1, 4.839322, 1.640464, 1.158603
1, 4.821773, 1.635367, 1.160810
1, 4.804279, 1.630090, 1.162988
1, 4.786841, 1.624635, 1.165136
1, 4.769462, 1.619002, 1.167256
1, 4.752143, 1.613192, 1.169349
1, 4.734886, 1.607206, 1.171415
1, 4.717693, 1.601044, 1.173455
1, 4.700567, 1.594707, 1.175469
1, 4.683508, 1.588196, 1.177459
1, 4.666520, 1.581512, 1.179425
1, 4.649604, 1.574654, 1.181367
1, 4.632762, 1.567625, 1.183288
1, 4.615996, 1.560425, 1.185186
1, 4.599308, 1.553055, 1.187064
1, 4.582699, 1.545515, 1.188922
1, 4.566172, 1.537807, 1.190760
1, 4.549728, 1.529932, 1.192580
1, 4.533370, 1.521890, 1.194383
1, 4.517099, 1.513682, 1.196168
1, 4.500916, 1.505310, 1.197938
1, 4.484824, 1.496775, 1.199692
1, 4.468825, 1.488077, 1.201432
1, 4.452920, 1.479218, 1.203158
1, 4.437111, 1.470199, 1.204871
1, 4.421400, 1.461020, 1.206573
1, 4.405788, 1.451684, 1.208263
1, 4.390278, 1.442191, 1.209943
1, 4.374870, 1.432542, 1.211614
1, 4.359566, 1.422739, 1.213277
1, 4.344369, 1.412782, 1.214932
1, 4.329280, 1.402674, 1.216580
1, 4.314300, 1.392414, 1.218222
1, 4.299431, 1.382006, 1.219859
1, 4.284674, 1.371449, 1.221492
1, 4.270032, 1.360746, 1.223122
1, 4.255505, 1.349897, 1.224749
1, 4.241095, 1.338904, 1.226375
1, 4.226804, 1.327768, 1.228000
